+------------+----------------+-------+
| ID Tara    | ID Concurent   | SCORE |
| C4         | 315            | 50    |
| C4         | 341            | 50    |
| C4         | 346            | 50    |
| C4         | 376            | 50    |
| C5         | 423            | 50    |
| C5         | 464            | 50    |
| C5         | 484            | 50    |
| C1         | 12             | 49    |
| C1         | 30             | 49    |
| C1         | 41             | 49    |
| C2         | 163            | 49    |
| C3         | 207            | 49    |
| C3         | 220            | 49    |
| C3         | 241            | 49    |
| C3         | 249            | 49    |
| C3         | 280            | 49    |
| C4         | 316            | 49    |
| C5         | 409            | 49    |
| C5         | 440            | 49    |
| C5         | 471            | 49    |
| C2         | 124            | 48    |
| C2         | 132            | 48    |
| C2         | 155            | 48    |
| C2         | 169            | 48    |
| C2         | 173            | 48    |
| C2         | 201            | 48    |
| C3         | 208            | 48    |
| C3         | 234            | 48    |
| C3         | 258            | 48    |
| C4         | 317            | 48    |
| C4         | 318            | 48    |
| C4         | 336            | 48    |
| C4         | 347            | 48    |
| C4         | 367            | 48    |
| C4         | 389            | 48    |
| C5         | 434            | 48    |
| C5         | 468            | 48    |
| C1         | 46             | 47    |
| C2         | 137            | 47    |
| C3         | 218            | 47    |
| C4         | 322            | 47    |
| C5         | 419            | 47    |
| C5         | 449            | 47    |
| C1         | 54             | 46    |
| C3         | 210            | 46    |
| C3         | 222            | 46    |
| C3         | 289            | 46    |
| C4         | 305            | 46    |
| C4         | 350            | 46    |
| C4         | 351            | 46    |
| C4         | 394            | 46    |
| C5         | 412            | 46    |
| C5         | 425            | 46    |
| C5         | 452            | 46    |
| C1         | 38             | 45    |
| C1         | 53             | 45    |
| C1         | 73             | 45    |
| C2         | 128            | 45    |
| C3         | 236            | 45    |
| C3         | 246            | 45    |
| C3         | 255            | 45    |
| C4         | 311            | 45    |
| C4         | 327            | 45    |
| C5         | 454            | 45    |
| C5         | 457            | 45    |
| C1         | 9              | 44    |
| C1         | 21             | 44    |
| C1         | 33             | 44    |
| C1         | 36             | 44    |
| C2         | 179            | 44    |
| C3         | 227            | 44    |
| C3         | 264            | 44    |
| C3         | 282            | 44    |
| C3         | 295            | 44    |
| C4         | 309            | 44    |
| C4         | 330            | 44    |
| C4         | 348            | 44    |
| C4         | 378            | 44    |
| C4         | 384            | 44    |
| C4         | 385            | 44    |
| C4         | 386            | 44    |
| C4         | 388            | 44    |
| C5         | 414            | 44    |
| C5         | 415            | 44    |
| C1         | 5              | 43    |
| C1         | 42             | 43    |
| C1         | 64             | 43    |
| C2         | 126            | 43    |
| C2         | 130            | 43    |
| C2         | 149            | 43    |
| C3         | 225            | 43    |
| C3         | 233            | 43    |
| C3         | 247            | 43    |
| C5         | 413            | 43    |
| C1         | 39             | 42    |
| C2         | 106            | 42    |
| C2         | 117            | 42    |
| C2         | 150            | 42    |
| C3         | 250            | 42    |
| C3         | 279            | 42    |
| C3         | 286            | 42    |
| C4         | 310            | 42    |
| C4         | 344            | 42    |
| C4         | 353            | 42    |
| C4         | 390            | 42    |
| C5         | 458            | 42    |
| C1         | 62             | 41    |
| C1         | 79             | 41    |
| C2         | 111            | 41    |
| C2         | 148            | 41    |
| C3         | 209            | 41    |
| C3         | 244            | 41    |
| C3         | 254            | 41    |
| C3         | 260            | 41    |
| C3         | 273            | 41    |
| C4         | 319            | 41    |
| C4         | 345            | 41    |
| C4         | 360            | 41    |
| C5         | 459            | 41    |
| C2         | 116            | 40    |
| C2         | 136            | 40    |
| C2         | 141            | 40    |
| C2         | 145            | 40    |
| C2         | 152            | 40    |
| C2         | 185            | 40    |
| C1         | 27             | 39    |
| C1         | 37             | 39    |
| C2         | 118            | 39    |
| C2         | 167            | 39    |
| C2         | 188            | 39    |
| C3         | 216            | 39    |
| C3         | 270            | 39    |
| C4         | 321            | 39    |
| C4         | 352            | 39    |
| C5         | 431            | 39    |
| C1         | 55             | 38    |
| C2         | 182            | 38    |
| C2         | 199            | 38    |
| C3         | 211            | 38    |
| C3         | 265            | 38    |
| C3         | 291            | 38    |
| C4         | 355            | 38    |
| C5         | 443            | 38    |
| C5         | 483            | 38    |
| C1         | 20             | 37    |
| C1         | 31             | 37    |
| C1         | 67             | 37    |
| C3         | 274            | 37    |
| C4         | 325            | 37    |
| C4         | 337            | 37    |
| C4         | 391            | 37    |
| C3         | 240            | 36    |
| C3         | 283            | 36    |
| C4         | 340            | 36    |
| C4         | 368            | 36    |
| C5         | 482            | 36    |
| C2         | 158            | 35    |
| C3         | 213            | 35    |
| C3         | 268            | 35    |
| C3         | 293            | 35    |
| C4         | 334            | 35    |
| C5         | 439            | 35    |
| C2         | 119            | 34    |
| C4         | 363            | 34    |
| C4         | 374            | 34    |
| C5         | 406            | 34    |
| C1         | 34             | 33    |
| C1         | 43             | 33    |
| C3         | 226            | 33    |
| C3         | 285            | 33    |
| C1         | 51             | 32    |
| C5         | 421            | 32    |
| C2         | 160            | 31    |
| C3         | 219            | 31    |
| C3         | 252            | 31    |
| C5         | 437            | 31    |
| C4         | 373            | 29    |
| C4         | 307            | 28    |
| C1         | 2              | 27    |
| C4         | 362            | 27    |
| C1         | 70             | 26    |
| C2         | 198            | 26    |
| C2         | 131            | 24    |
| C5         | 426            | 24    |
| C1         | 77             | 22    |
+------------+----------------+-------+
