ID       | POINTS   | COUNTRY
353      | 42       | Country4
390      | 42       | Country4
458      | 42       | Country5
62       | 41       | Country1
79       | 41       | Country1
111      | 41       | Country2
148      | 41       | Country2
209      | 41       | Country3
244      | 41       | Country3
254      | 41       | Country3
260      | 41       | Country3
273      | 41       | Country3
319      | 41       | Country4
345      | 41       | Country4
360      | 41       | Country4
459      | 41       | Country5
116      | 40       | Country2
136      | 40       | Country2
141      | 40       | Country2
145      | 40       | Country2
152      | 40       | Country2
185      | 40       | Country2
27       | 39       | Country1
37       | 39       | Country1
118      | 39       | Country2
167      | 39       | Country2
188      | 39       | Country2
216      | 39       | Country3
352      | 39       | Country4
431      | 39       | Country5
55       | 38       | Country1
182      | 38       | Country2
199      | 38       | Country2
211      | 38       | Country3
265      | 38       | Country3
291      | 38       | Country3
355      | 38       | Country4
443      | 38       | Country5
483      | 38       | Country5
20       | 37       | Country1
31       | 37       | Country1
67       | 37       | Country1
274      | 37       | Country3
325      | 37       | Country4
337      | 37       | Country4
391      | 37       | Country4
240      | 36       | Country3
283      | 36       | Country3
340      | 36       | Country4
368      | 36       | Country4
482      | 36       | Country5
158      | 35       | Country2
213      | 35       | Country3
268      | 35       | Country3
293      | 35       | Country3
334      | 35       | Country4
439      | 35       | Country5
119      | 34       | Country2
363      | 34       | Country4
374      | 34       | Country4
406      | 34       | Country5
34       | 33       | Country1
43       | 33       | Country1
226      | 33       | Country3
285      | 33       | Country3
51       | 32       | Country1
421      | 32       | Country5
160      | 31       | Country2
219      | 31       | Country3
252      | 31       | Country3
437      | 31       | Country5
373      | 29       | Country4
307      | 28       | Country4
2        | 27       | Country1
362      | 27       | Country4
70       | 26       | Country1
198      | 26       | Country2
131      | 24       | Country2
426      | 24       | Country5
77       | 22       | Country1
